client_name,client_version_from,client_version_to,release_order,num_commits,insertions,deletions,lines,files,self_driven_sdr
babel-plugin-transform-react-remove-prop-types,0.2.2,0.2.3,4,5,104,11,115,11,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.3,0.2.4,5,5,169,11,180,13,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.4,0.2.5,6,4,163,2,165,8,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.5,0.2.6,7,11,393,92,485,26,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.6,0.2.7,8,2,3,4,7,2,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.7,0.2.8,9,12,1027,105,1132,73,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.8,0.2.9,10,4,88,27,115,7,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.9,0.2.10,11,16,863,348,1211,149,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.10,0.2.11,12,11,185,258,443,25,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.11,0.2.12,13,10,159,33,192,22,FALSE
babel-plugin-transform-react-remove-prop-types,0.2.12,0.3.0,14,3,277,105,382,19,FALSE
babel-plugin-transform-react-remove-prop-types,0.3.0,0.3.1,15,3,1,105,106,11,FALSE
babel-plugin-transform-react-remove-prop-types,0.3.1,0.3.2,16,3,371,239,610,17,FALSE
babel-plugin-transform-react-remove-prop-types,0.3.2,0.3.3,17,6,191,80,271,21,FALSE
babel-plugin-transform-react-remove-prop-types,0.3.3,0.4.0,18,7,5819,219,6038,95,FALSE
babel-plugin-transform-react-remove-prop-types,0.4.0,0.4.1,19,10,452,49,501,30,FALSE
babel-plugin-transform-react-remove-prop-types,0.4.1,0.4.2,20,3,587,317,904,91,FALSE
babel-plugin-transform-react-remove-prop-types,0.4.2,0.4.3,21,11,568,84,652,42,FALSE
babel-plugin-transform-react-remove-prop-types,0.4.3,0.4.4,22,3,235,11,246,13,FALSE
babel-plugin-transform-react-remove-prop-types,0.4.4,0.4.5,23,5,149,33,182,15,FALSE
bcrypt,0.1.2,0.1.3,1,21,817,307,1124,38,FALSE
bcrypt,0.2.0,0.2.1,3,2,28,4,32,2,FALSE
bcrypt,0.2.1,0.2.2,4,2,2,2,4,2,TRUE
bcrypt,0.2.2,0.2.3,5,1,82,21,103,5,FALSE
bcrypt,0.2.3,0.2.4,6,26,583,216,799,48,FALSE
bcrypt,0.2.4,0.3.0,7,21,279,328,607,32,FALSE
bcrypt,0.3.0,0.3.1,8,1,2,2,4,2,TRUE
bcrypt,0.3.1,0.3.2,9,7,56,70,126,10,FALSE
bcrypt,0.3.2,0.4.0,10,4,90,2,92,14,FALSE
bcrypt,0.4.0,0.4.1,11,12,813,519,1332,26,FALSE
bcrypt,0.4.1,0.5.0,12,22,279,215,494,39,FALSE
